hotel_name	city	price	quality_test	total_rat	premium	lat	lon	part_total_rat	breakfast	cleanliness	comfort	facilities	food	hotel_condition	location	room	service	value_for_money	double_bed	king_bed	queen_bed	individual_bed	four_bed	two_ind_beds	five_bed	six_bed	triple	water_sports	winter_sports	family	party	fitness	gay_friendly	gourmets	big_groups	honey_moon	business	adults_only	single_status	pet_travelers	atrapalo_rc	customer_alliance_rc	expedia_rc	holiday_check_rc	hoteles_rc	hotelsclick_rc	splendia_rc	superbreak_rc	vinivi_rc	zoover_rc	hostelbookers_rc	atrapalo_r	customer_alliance_r	expedia_r	holiday_check_r	hoteles_r	hotelsclick_r	splendia_r	superbreak_r	vinivi_r	zoover_r	hostelbookers_r	air_conditioner	bar_in_hotel	gym	pet_allowed	parking	pool	restaurant	spa	wifi_room	wifi_hall	air_conditioner_free	bar_in_hotel_free	gym_free	pet_allowed_free	parking_free	pool_free	restaurant_free	spa_free	wifi_room_free	wifi_hall_free	hotel_type	neighbourhood	is_hotel_very_centric	is_hotel_centric	is_neighbourhood_very_centric
Sant Cugat	0	113	0	0	0	41.470749	2.085879	1023	78	91	85	82	73	85	88	81	84	79	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	383.0	1472.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	0.0	0.0	89.0	82.0	86.0	80.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False
Hotel HCC Open	0	90	0	0	0	41.381699	2.1551	1305	73	85	79	79	71	79	83	79	83	77	1	1	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	77.0	0.0	84.0	80.0	82.0	0.0	0.0	0.0	0.0	77.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	la Nova Esquerra de l'Eixample	False	True	True
Sansi Diputacio	0	109	0	0	0	41.388302	2.1646	896	69	76	75	76	74	76	88	71	78	72	1	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	406.0	57.0	452.0	654.0	0.0	0.0	0.0	317.0	0.0	0.0	0.0	78.0	75.0	78.0	68.0	0.0	0.0	0.0	71.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	la Dreta de l'Eixample	True	False	True
Hotel Arts Barcelona	0	329	0	0	0	41.387001	2.1964	2626	75	91	91	85	82	89	89	90	89	77	0	0	0	0	1	0	0	0	1	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	406.0	57.0	452.0	654.0	0.0	0.0	0.0	317.0	0.0	0.0	0.0	92.0	95.0	92.0	92.0	0.0	0.0	0.0	94.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5	la Barceloneta	False	False	False
Medium Sitges Park	0	70	0	0	0	41.237034	1.81022	2271	74	86	79	80	74	83	92	78	82	78	1	0	0	0	0	1	0	0	0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	0.0	0.0	84.0	0.0	82.0	75.0	84.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False
Two Hotel Barcelona By Axel	0	119	0	0	0	41.379131	2.156119	1658	75	91	86	85	78	83	84	83	88	82	0	1	0	1	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	406.0	0.0	452.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.0	0.0	86.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	Sant Antoni	False	True	True
Campanile Barcelona	0	44	0	0	0	41.508354	2.141169	830	68	75	68	71	67	70	67	69	72	72	1	0	0	1	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	0.0	434.0	65.0	0.0	68.0	72.0	66.0	0.0	0.0	0.0	0.0	0.0	84.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False
Campanile Cornellà	0	57	0	0	0	41.348305	2.082864	1844	64	82	79	77	79	81	72	78	80	78	1	0	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0	80.0	77.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False
Ayre Hotel Gran Vía	0	125	1	0	0	41.373302	2.147286	5913	73	89	85	83	78	85	90	82	89	83	1	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	71.0	0.0	0.0	0.0	0.0	84.0	0.0	88.0	92.0	88.0	0.0	100.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	Montjuïc	False	False	False
Eurostars Barberà Parc	0	49	0	0	0	41.506802	2.136	1061	76	85	82	80	70	81	69	81	83	83	1	0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	654.0	0.0	0.0	0.0	0.0	0.0	79.0	0.0	78.0	77.0	76.0	78.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False
Dolce Sitges	0	103	0	0	0	41.229488	1.772921	2214	84	91	91	88	84	89	82	86	86	80	0	1	0	0	0	1	0	0	0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	71.0	0.0	0.0	0.0	0.0	76.0	0.0	90.0	87.0	92.0	0.0	91.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7	outskirt	False	False	False
Duquesa de Cardona	0	220	0	0	0	41.379799	2.1804	2193	78	92	88	86	80	89	94	86	91	82	1	0	1	0	0	1	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	406.0	57.0	452.0	0.0	71.0	0.0	0.0	317.0	0.0	0.0	0.0	90.0	93.0	90.0	0.0	88.0	0.0	0.0	91.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	el Gòtic	False	True	True
Vincci Gala	0	198	0	0	0	41.389526	2.174714	3457	78	93	89	84	83	90	93	86	89	84	1	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	90.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	la Dreta de l'Eixample	True	False	True
Front Maritim Barcelona	0	108	0	0	0	41.404099	2.2139	2325	71	81	74	74	76	80	78	72	78	73	1	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	70.0	0.0	78.0	72.0	72.0	0.0	0.0	0.0	0.0	81.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	Diagonal Mar i el Front Marítim del Poblenou	False	False	False
Sidorme Viladecans	0	62	0	0	0	41.310223	2.027357	915	0	87	83	80	65	83	79	79	82	84	1	0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0	73.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	outskirt	False	False	False
